
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
13.981, 36. 18, 130.665, 1, 1, 4000.  0
6.487, 43.512, 188.105, 1, 1, 4000.  0
23.430, 39.  0, 153.100, 1, 1, 4000.  0
25.183, 24.816, 60.560, 1, 1, 2400.  0
42.388, 7.611, 6.328, 1, 1, 239.999
61. 43, -11.22043, -11.22258, 0, 1, 439.999
76.657, -26.52657, -68.136686, 0, 1, 2720.  0
82.500, -32.64500, -103.206702, 0, 1, 4000.  0
78.208, -28.56208, -78.156984, 0, 1, 3119.999
76.496, -26.52496, -68.136890, 0, 1, 2720.  0
55.946, -5.10946, -2.4973, 0, 1, 79.999
36.102, 13.897, 18.205, 1, 1, 720.  0
20.388, 29.611, 86.309, 1, 1, 3440.  0
9.267, 40.732, 163.772, 1, 1, 4000.  0
15.230, 34.769, 119.215, 1, 1, 4000.  0
16.600, 33.399, 111.217, 1, 1, 4000.  0
31.750, 18.249, 33.848, 1, 1, 1320.  0
50.970, 0.970, 0.990, 1, 1, 0.  0
69.928, -19.38928, -37.74073, 0, 1, 1480.  0
82. 76, -32.64076, -102.204175, 0, 1, 4000.  0
82.500, -32.64500, -103.206854, 0, 1, 4000.  0
68.719, -32.64500, -104.208000, 0, 1, 4000.  0
66.826, -16.32826, -26.52921, 0, 1, 1039.999
46.437, 3.562, 1.104, 1, 1, 39.999
17.708, 21.432, 45.257, 1, 1, 1799.999
17.970, 32. 29, 103. 64, 1, 1, 4000.  0
6.467, 43.532, 188.191, 1, 1, 4000.  0
23.833, 37.851, 141. 51, 1, 1, 4000.  0
42. 45, 24.474, 59.738, 1, 1, 2359.999
43.818, 6.181, 4.708, 1, 1, 159.999
60.338, -10.20338, -9.18545, 0, 1, 360.  0
82.500, -25.50851, -64.128094, 0, 1, 2559.999
82.500, -32.64500, -103.206790, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
79. 34, -29.58034, -84.168200, 0, 1, 3359.999
57.397, -7.14397, -5.10178, 0, 1, 200.  0
22.785, 11.741, 13. 33, 1, 1, 519.999
21.456, 28.543, 80.611, 1, 1, 3200.  0
11.705, 38.294, 146.520, 1, 1, 4000.  0
16.499, 41.538, 171.307, 1, 1, 4000.  0
17.749, 32.250, 104.202, 1, 1, 4000.  0
32.194, 17.805, 31.269, 1, 1, 1240.  0
68.195, -1.2111, 0.877, 1, 1, 0.  0
82.117, -19.38968, -37.74151, 0, 1, 1480.  0
82.500, -32.64117, -102.204307, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
68.921, -32.64500, -104.208000, 0, 1, 4000.  0
67. 67, -17.34067, -29.58015, 0, 1, 1159.999
46.719, 3.280, 1. 16, 1, 1, 39.999
28.648, 21.351, 45. 84, 1, 1, 1799.999
16.540, 33.459, 110.997, 1, 1, 4000.  0
11.543, 37.871, 141.125, 1, 1, 4000.  0
